,Open,High,Low,Close,Volume,Date
0,162.2300,163.3300,161.5766,162.7400,3677533,2023-12-18
1,162.3000,164.0900,162.0400,162.2300,11016108,2023-12-15
2,162.9300,163.4990,160.1490,162.9100,6129804,2023-12-14
3,164.3700,164.9653,162.7350,163.6200,4989141,2023-12-13
4,163.2700,166.3400,162.9200,164.7100,5292290,2023-12-12
5,162.6800,163.6500,161.9500,163.5100,6077207,2023-12-11
6,160.0000,162.0400,160.0000,161.9600,4561342,2023-12-08
7,161.0000,161.4650,159.9700,160.2200,3665498,2023-12-07
8,161.5900,162.3550,160.0100,160.2800,3356432,2023-12-06
9,160.7600,162.4700,160.7200,161.3900,4556668,2023-12-05
10,160.2900,162.7900,160.2900,161.1000,5779017,2023-12-04
11,158.4100,160.5900,158.0000,160.5500,4871860,2023-12-01
12,156.9500,158.6000,156.8900,158.5600,6740622,2023-11-30
13,156.1500,157.5100,156.0200,156.4100,3568887,2023-11-29
14,155.4400,155.7450,154.8600,155.6500,2666182,2023-11-28
15,154.9900,156.1350,154.7500,155.5700,4053093,2023-11-27
16,155.1300,155.4000,153.9200,155.1800,1799161,2023-11-24
17,154.5000,155.7050,154.1600,155.1300,3045091,2023-11-22
18,154.6000,154.6600,153.5100,153.9100,2859508,2023-11-21
19,152.5100,154.6800,152.3500,154.3500,3658936,2023-11-20
20,153.2900,153.5000,152.4601,152.8900,4426676,2023-11-17
21,153.0000,153.3500,152.1300,153.0600,3519172,2023-11-16
22,150.4000,153.2200,150.4000,152.5800,4632519,2023-11-15
23,149.4500,150.8063,149.0500,150.4100,4321940,2023-11-14
24,148.4600,148.4900,147.3500,148.1000,2647288,2023-11-13
25,147.4400,149.1700,146.8500,149.0200,3179541,2023-11-10
26,146.5500,146.9900,145.2800,146.6200,3412713,2023-11-09
27,149.2500,149.6800,147.5850,148.0300,3618588,2023-11-08
28,149.0300,149.2800,148.0300,148.8300,3549853,2023-11-07
29,147.8900,149.2250,147.8500,148.9700,4597249,2023-11-06
30,147.4500,148.4450,147.2800,147.9000,3510495,2023-11-03
31,145.7700,147.1000,144.8400,147.0100,3902657,2023-11-02
32,145.0000,146.5100,144.4500,145.4000,4750081,2023-11-01
33,143.0000,144.7600,142.5900,144.6400,6592041,2023-10-31
34,143.1900,144.5000,142.5800,142.6300,4204190,2023-10-30
35,143.6200,144.7000,141.7100,142.5200,5469227,2023-10-27
36,142.2000,144.4100,141.5800,143.7600,11130170,2023-10-26
37,137.5000,138.4900,136.3300,137.0800,6472549,2023-10-25
38,136.7400,137.9800,136.0500,137.7900,3697975,2023-10-24
39,136.6300,137.6800,135.8700,136.3800,3457527,2023-10-23
40,138.1500,139.2700,137.1200,137.1600,4865615,2023-10-20
41,138.6400,139.4050,137.9300,138.0100,5314159,2023-10-19
42,140.0000,140.4300,139.5800,139.9700,3329985,2023-10-18
43,137.1200,140.6200,136.3100,140.3200,4172822,2023-10-17
44,139.2800,139.7800,138.5200,139.2100,3361468,2023-10-16
45,139.7700,140.1200,138.2700,138.4600,4583553,2023-10-13
46,142.5100,142.9300,140.9500,141.2400,3921142,2023-10-12
47,142.5100,143.3400,142.1400,143.2300,2511459,2023-10-11
48,142.6000,143.4150,141.7200,142.1100,3015784,2023-10-10
49,142.3000,142.4000,140.6800,142.2000,2354396,2023-10-09
