,Open,High,Low,Close,Volume,Date
0,2560.3000,2597.8501,2520.0000,2527.3501,649409,2023-12-20
1,2537.7000,2573.0000,2525.8501,2558.4500,234379,2023-12-19
2,2494.2000,2534.3999,2491.0500,2519.9500,196178,2023-12-18
3,2472.1499,2499.9500,2469.0500,2495.2000,681578,2023-12-15
4,2453.0000,2475.0000,2442.7000,2464.5000,3647716,2023-12-14
5,2427.7500,2438.0000,2406.3000,2433.3999,137296,2023-12-13
6,2458.0000,2464.8999,2420.2500,2423.9500,98105,2023-12-12
7,2452.1499,2467.3999,2452.1499,2459.0500,169515,2023-12-11
8,2461.2000,2475.7000,2444.5000,2456.2000,1107109,2023-12-08
9,2460.7000,2461.0500,2442.0000,2457.6001,2891485,2023-12-07
10,2443.2500,2473.6001,2440.3000,2460.7000,130350,2023-12-06
11,2433.0000,2440.5000,2421.3501,2437.5500,390820,2023-12-05
12,2440.0500,2445.0000,2395.0000,2421.0000,6478365,2023-12-04
13,2381.0000,2396.8999,2380.0000,2393.4500,2830557,2023-12-01
14,2398.0000,2400.5000,2371.2500,2376.3999,4376134,2023-11-30
15,2405.1499,2411.7500,2398.2500,2400.5000,323782,2023-11-29
16,2393.0000,2398.8000,2375.0000,2394.5500,353122,2023-11-28
17,2390.2000,2402.3999,2390.2000,2394.3000,584860,2023-11-24
18,2387.7500,2401.2500,2387.7500,2395.1499,227525,2023-11-23
19,2372.7000,2394.7500,2372.3999,2387.7500,63242,2023-11-22
20,2362.0500,2387.6499,2359.3999,2378.5000,76008,2023-11-21
21,2349.0000,2358.0000,2336.8501,2349.3000,163824,2023-11-20
22,2357.3501,2373.0000,2353.0000,2355.8501,573100,2023-11-17
23,2349.9500,2373.7000,2346.8000,2363.3501,435606,2023-11-16
24,2335.5000,2362.3501,2326.8000,2356.8999,104539,2023-11-15
25,2325.0000,2325.0000,2311.6499,2314.3000,127884,2023-11-13
26,2308.0000,2317.0000,2298.1499,2314.3000,499796,2023-11-10
27,2330.5500,2336.5500,2305.0000,2310.6499,211600,2023-11-09
28,2333.7000,2341.0000,2322.6001,2336.6001,317763,2023-11-08
29,2337.7500,2339.4500,2320.0000,2324.2000,205366,2023-11-07
30,2334.9500,2340.0000,2326.0500,2339.0500,326958,2023-11-06
31,2328.6499,2335.0000,2314.8999,2319.0500,813331,2023-11-03
32,2309.0000,2324.0000,2306.5000,2319.8501,84609,2023-11-02
33,2289.8999,2317.5000,2275.2500,2296.6499,263097,2023-11-01
34,2332.9500,2332.9500,2282.8000,2288.5500,146839,2023-10-31
35,2283.9500,2324.6001,2272.0000,2311.3501,271749,2023-10-30
36,2242.0000,2274.0500,2236.0500,2265.2500,793186,2023-10-27
37,2257.9500,2258.0000,2221.0500,2226.2000,682499,2023-10-26
38,2252.9500,2281.5000,2242.3999,2258.0000,217481,2023-10-25
39,2292.0000,2306.7000,2254.2500,2262.6499,250465,2023-10-23
40,2302.4500,2314.8000,2296.0500,2299.1499,474553,2023-10-20
41,2314.9500,2321.3999,2301.5500,2305.5500,590336,2023-10-19
42,2355.2500,2367.1499,2320.2000,2323.6001,260837,2023-10-18
43,2352.4500,2360.0000,2342.0000,2355.6001,135643,2023-10-17
44,2348.0000,2354.0000,2336.0000,2342.8999,208827,2023-10-16
