,Open,High,Low,Close,Volume,Date
0,284.2000,286.8950,283.9000,286.1000,10011880,2023-12-19
1,282.8000,284.9000,281.1000,283.5000,12033300,2023-12-18
2,288.0000,289.8000,282.7000,282.7000,36110449,2023-12-15
3,291.3000,294.9000,225.0255,288.1000,55064480,2023-12-14
4,290.2000,292.3000,287.6000,289.0000,30133359,2023-12-13
5,291.0000,292.7000,288.8000,289.3000,13214620,2023-12-12
6,288.1000,291.3000,287.5000,290.5000,12077470,2023-12-11
7,289.4000,291.3000,286.8000,287.9000,10337400,2023-12-08
8,287.5000,289.0000,285.0000,288.5000,13043850,2023-12-07
9,285.7000,287.5000,282.3000,286.7000,41670762,2023-12-06
10,280.3000,285.5000,279.3000,284.1000,9756311,2023-12-05
11,278.9000,282.3000,277.8000,281.2000,14230320,2023-12-04
12,280.0000,283.6000,278.8000,279.6000,17236150,2023-12-01
13,284.0000,286.2000,283.2000,285.8000,37135969,2023-11-30
14,283.6000,284.7000,282.5000,284.4000,10785250,2023-11-29
15,283.6000,286.9000,281.6000,283.8000,13319400,2023-11-28
16,284.0000,285.4000,282.0000,284.6000,17818359,2023-11-27
17,278.8000,283.9000,276.9000,283.8000,28355391,2023-11-24
18,280.4000,280.9000,277.5000,280.0000,6923260,2023-11-23
19,278.1000,280.0490,275.3000,279.8000,22545721,2023-11-22
20,274.8000,277.0000,273.4000,276.5000,7246304,2023-11-21
21,276.2000,277.7000,274.5000,274.7000,7271302,2023-11-20
22,275.4000,287.0000,274.2000,276.0000,19057311,2023-11-17
23,277.1000,281.0000,273.7000,275.3000,15566460,2023-11-16
24,279.2000,280.9000,273.5000,273.5000,31655250,2023-11-15
25,281.8000,283.5000,278.6000,278.6000,15571420,2023-11-14
26,278.6000,281.9000,276.1000,281.5000,14927220,2023-11-13
27,279.6000,281.0000,276.6970,277.7000,35062141,2023-11-10
28,277.5000,279.7000,276.1000,279.3000,10332470,2023-11-09
29,277.2000,281.1000,276.1000,278.0000,68801531,2023-11-08
30,275.7000,278.1000,273.9000,277.0000,22937961,2023-11-07
31,275.8000,277.4000,273.1000,275.9000,67131312,2023-11-06
32,274.9000,277.3000,272.3000,275.8000,13930640,2023-11-03
33,277.0000,279.8000,269.4000,274.0000,23241160,2023-11-02
34,272.3000,274.0000,269.0000,271.0000,19455330,2023-11-01
35,272.1000,272.9000,268.7000,269.7000,65229180,2023-10-31
36,274.3000,275.2000,270.0000,270.0000,22122221,2023-10-30
37,273.0000,274.9000,270.9992,272.4000,27989199,2023-10-27
38,272.1000,276.7000,269.9000,273.1000,18089670,2023-10-26
39,272.0000,272.9000,269.8000,272.3000,29256820,2023-10-25
40,270.9000,274.0000,269.2000,272.6000,15232400,2023-10-24
41,271.9000,274.0000,269.4000,272.0000,11015780,2023-10-23
42,272.5000,273.8000,270.7000,272.7000,19800070,2023-10-20
43,274.6000,276.8000,272.1000,273.9000,14293140,2023-10-19
44,276.7000,278.2000,273.0000,275.3000,24964930,2023-10-18
45,274.4000,279.9000,272.6000,276.1000,17936869,2023-10-17
46,276.2000,278.7000,273.8000,274.3000,25311600,2023-10-16
47,279.4000,281.3000,275.6000,275.6000,18600320,2023-10-13
48,279.5000,283.4000,276.8000,279.2000,16999869,2023-10-12
49,279.0000,281.9000,277.1000,281.1000,11714180,2023-10-11
50,277.0000,280.4000,272.4000,280.4000,42153289,2023-10-10
51,278.0000,280.1000,273.8000,274.4000,25074811,2023-10-09
52,282.0000,283.6000,276.1000,278.4000,22319221,2023-10-06
53,273.7000,281.9000,272.7000,280.4000,26587600,2023-10-05
54,262.2000,271.7000,261.0000,270.7000,46607328,2023-10-04
55,261.5000,261.8000,258.6000,259.6000,17798391,2023-10-03
56,266.1000,267.8000,260.9996,261.8000,17437410,2023-10-02
57,265.6000,267.7000,264.0000,264.2000,21139789,2023-09-29
58,265.1000,266.1000,262.8000,264.6000,15639770,2023-09-28
59,270.6000,270.6000,265.3000,265.3000,50164312,2023-09-27
60,268.9000,270.6000,267.6920,270.1000,14034280,2023-09-26
61,270.3000,272.3000,267.4790,268.8000,19455949,2023-09-25
62,268.0000,271.7944,267.3000,270.9000,14749700,2023-09-22
63,269.4000,270.8000,267.9510,269.5000,51629281,2023-09-21
64,273.1000,274.8000,268.9000,270.5000,16208980,2023-09-20
65,271.3000,273.5000,271.0000,273.1000,17100000,2023-09-19
66,270.5000,271.9400,269.6000,271.5000,9517546,2023-09-18
67,269.1000,271.7000,268.5940,270.7000,49860930,2023-09-15
68,264.4000,267.6000,263.4000,266.9000,8880733,2023-09-14
69,262.3000,264.4997,261.8000,263.7000,8481579,2023-09-13
70,260.0000,264.0000,260.0000,262.5000,8849292,2023-09-12
71,258.9000,262.1991,257.8000,259.7000,29456750,2023-09-11
72,256.1000,258.9000,254.8000,258.6000,15047730,2023-09-08
73,254.7000,257.3000,254.1000,255.5000,12107730,2023-09-07
74,256.0000,258.1380,254.2000,257.0000,13152700,2023-09-06
75,260.0000,260.0000,255.6000,256.3000,34128832,2023-09-05
76,266.0000,266.8000,263.1980,263.8000,8317735,2023-09-04
77,266.6000,268.6000,264.5000,264.7000,11538320,2023-09-01
78,265.2000,267.7000,264.5400,265.7000,30612240,2023-08-31
79,264.8000,264.9000,262.8000,264.2000,6900358,2023-08-30
80,262.1000,264.0000,259.6640,263.6000,23229801,2023-08-29
81,256.0000,261.8000,255.4053,260.1000,16422430,2023-08-25
82,255.4000,257.7000,253.4000,255.2000,10264850,2023-08-24
83,251.0000,254.4000,251.0000,253.3000,20008199,2023-08-23
84,252.5000,253.7000,249.5000,250.8000,10805640,2023-08-22
85,249.9000,255.1000,249.9000,252.0000,22280619,2023-08-21
86,245.5000,250.6000,244.5000,249.7000,19285301,2023-08-18
87,248.8000,250.0549,246.5000,246.5000,8889921,2023-08-17
88,247.5000,250.7000,247.2000,249.8000,23738891,2023-08-16
89,249.9000,250.4000,246.4000,248.0000,10226190,2023-08-15
90,250.9000,251.2000,248.8000,250.4000,10734130,2023-08-14
91,253.8000,254.5000,251.1000,251.2000,34160059,2023-08-11
92,253.1000,255.7000,252.6000,254.8000,13800970,2023-08-10
93,254.1000,254.1000,251.5000,251.6000,32815340,2023-08-09
94,250.8000,252.7000,250.5000,252.0000,15460010,2023-08-08
95,249.6000,252.4000,249.0150,251.8000,9702280,2023-08-07
96,251.3000,253.1000,248.9000,250.5000,11959900,2023-08-04
97,254.4000,255.3000,251.2000,251.4000,56029680,2023-08-03
