,Open,High,Low,Close,Volume,Date
0,13.4600,13.5200,13.3500,13.4500,14732700,2023-12-19
1,13.4300,13.5200,13.3000,13.4700,14633150,2023-12-18
2,13.6300,13.6600,13.4600,13.4900,18136730,2023-12-15
3,13.8200,13.8900,13.5900,13.6100,16898940,2023-12-14
4,13.9400,14.0300,13.7600,13.7700,17967730,2023-12-13
5,13.9200,14.0500,13.8300,14.0000,17072030,2023-12-12
6,14.0600,14.0700,13.8000,13.9900,32235420,2023-12-11
7,13.9800,14.1900,13.9500,14.1200,32166020,2023-12-08
8,14.0900,14.0900,13.7400,14.0400,30771160,2023-12-07
9,14.4300,14.4700,14.0800,14.0900,39039830,2023-12-06
10,14.7000,14.7300,14.4200,14.4400,19334240,2023-12-05
11,14.8600,14.9600,14.6900,14.7100,18803880,2023-12-04
12,14.8500,14.8900,14.6500,14.8600,26717480,2023-12-01
13,15.0000,15.0800,14.8000,14.8800,24312760,2023-11-30
14,15.3600,15.3700,14.9600,15.0500,37337880,2023-11-29
15,15.3100,15.4500,14.9100,15.3700,62497030,2023-11-28
16,14.9500,15.6200,14.7500,15.4900,94795390,2023-11-27
17,14.6900,14.7800,14.5600,14.5800,20115750,2023-11-24
18,14.3800,14.7200,14.3600,14.6900,28675430,2023-11-23
19,14.4100,14.4800,14.3200,14.3700,13997870,2023-11-22
20,14.4500,14.5900,14.4200,14.4300,19706910,2023-11-21
21,14.4400,14.5400,14.4100,14.4400,16639830,2023-11-20
22,14.3100,14.5000,14.2600,14.4800,20405790,2023-11-17
23,14.4400,14.4600,14.3200,14.3200,17440880,2023-11-16
24,14.4600,14.4900,14.3900,14.4800,15809390,2023-11-15
25,14.4900,14.5200,14.3800,14.4000,19464600,2023-11-14
26,14.6000,14.6500,14.3900,14.4400,19938400,2023-11-13
27,14.8400,14.9300,14.5800,14.6000,15920240,2023-11-10
28,14.8700,14.9800,14.7400,14.8700,14921330,2023-11-09
29,14.9000,14.9900,14.6900,14.9100,23822900,2023-11-08
30,14.9600,15.2300,14.9000,14.9200,22587480,2023-11-07
31,14.8800,15.0800,14.8200,15.0100,23631820,2023-11-06
32,14.7600,14.8700,14.7000,14.8300,15831970,2023-11-03
33,14.5000,14.8900,14.5000,14.7800,25487570,2023-11-02
34,14.5200,14.6100,14.3200,14.5200,24349330,2023-11-01
35,14.7400,14.8300,14.4000,14.5200,33861960,2023-10-31
36,15.1100,15.1500,14.7900,14.8000,23970590,2023-10-30
