,Open,High,Low,Close,Volume,Date
0,10.5100,10.5400,10.2900,10.3800,59743980,2023-12-19
1,10.5600,10.7600,10.4000,10.5400,58593020,2023-12-18
2,10.6300,10.8100,10.6000,10.6400,88446500,2023-12-15
3,10.6700,10.7700,10.4700,10.5000,61120230,2023-12-14
4,10.8500,10.8500,10.6200,10.6400,86583240,2023-12-13
5,10.8100,11.0900,10.6800,11.0100,114069120,2023-12-12
6,10.6800,10.6800,10.4300,10.6300,81972240,2023-12-11
7,10.8700,10.8900,10.7400,10.7800,49301050,2023-12-08
8,10.7800,10.9500,10.7500,10.9000,45435130,2023-12-07
9,10.7900,10.9300,10.6600,10.8500,61763480,2023-12-06
10,11.1600,11.1600,10.7800,10.7900,95008620,2023-12-05
11,11.3500,11.4000,11.1600,11.1800,70053430,2023-12-04
12,11.4400,11.5300,11.2800,11.4000,66540340,2023-12-01
13,11.4100,11.5500,11.4000,11.4400,38831590,2023-11-30
14,11.7500,11.7800,11.4200,11.4600,78829700,2023-11-29
15,11.8000,11.8800,11.7000,11.7500,48666240,2023-11-28
16,12.0600,12.0600,11.6600,11.8000,99332930,2023-11-27
17,12.1900,12.3000,12.0800,12.1200,107220160,2023-11-24
18,11.8600,12.2900,11.7900,12.1700,153992380,2023-11-23
19,11.8500,12.2000,11.8200,11.8400,125311630,2023-11-22
20,11.7900,12.2000,11.7500,11.9200,201548080,2023-11-21
21,11.7100,11.7400,11.5500,11.5700,57448250,2023-11-20
22,11.7300,11.8000,11.5600,11.6200,63911810,2023-11-17
23,11.8500,11.8900,11.7000,11.8000,62264120,2023-11-16
24,11.9900,12.0800,11.8800,11.8900,95034660,2023-11-15
25,11.7200,11.8400,11.6800,11.7800,61099410,2023-11-14
26,11.8300,11.8700,11.6200,11.7200,67365640,2023-11-13
27,11.9100,11.9400,11.7400,11.8900,70679590,2023-11-10
28,12.1000,12.1500,11.9100,11.9600,81495570,2023-11-09
29,11.8300,12.2700,11.8000,12.1300,134509800,2023-11-08
30,12.2000,12.2000,11.8600,11.9300,161016720,2023-11-07
31,11.5000,12.0700,11.4200,11.9700,195090270,2023-11-06
32,11.2400,11.2800,11.0700,11.2700,82999100,2023-11-03
33,11.3400,11.4300,11.2200,11.2200,59402930,2023-11-02
34,11.3200,11.4300,11.2700,11.3400,66693180,2023-11-01
35,11.5600,11.6600,11.2200,11.3300,117987670,2023-10-31
36,11.5600,11.7000,11.5000,11.6000,72061400,2023-10-30
37,11.5300,11.6500,11.4600,11.6300,69165890,2023-10-27
38,11.6200,11.6900,11.5000,11.5700,42722250,2023-10-26
39,11.8400,11.9400,11.6900,11.7000,45586170,2023-10-25
40,11.6500,11.8000,11.6000,11.6600,52835950,2023-10-24
41,11.5800,11.8100,11.4900,11.6200,56835520,2023-10-23
42,11.4100,11.8000,11.3500,11.6600,83766640,2023-10-20
43,11.6600,11.6700,11.4500,11.4600,74789950,2023-10-19
44,11.9200,11.9300,11.7100,11.7100,67791130,2023-10-18
45,12.2000,12.2200,11.9500,11.9800,72679480,2023-10-17
46,12.5600,12.6100,12.1400,12.2100,75408390,2023-10-16
47,12.7500,12.7800,12.5800,12.5900,46760290,2023-10-13
48,12.8100,12.8800,12.7400,12.8400,38131710,2023-10-12
49,12.8500,12.8700,12.6600,12.7700,52314030,2023-10-11
50,12.8900,12.9600,12.8100,12.8200,30588300,2023-10-10
51,13.0600,13.0600,12.7500,12.8900,66257530,2023-10-09
52,13.0800,13.1200,13.0300,13.0800,30051320,2023-09-28
53,13.0200,13.1400,13.0200,13.0500,39494330,2023-09-27
54,13.1400,13.1900,13.0600,13.0700,32178240,2023-09-26
55,13.3400,13.3500,13.1100,13.1400,46900030,2023-09-25
